paradigm,condition,onset,difficulty,match,item1,item2,response,rt,correct,newDifficulty
semwritten,language,245.014,6,1,hairpin,adorn,0,0,0,4
semwritten,language,247.513,4,1,order,chaos,1,1.322,1,4
semwritten,language,250.012,4,0,nature,fleet,0,0,1,5
semwritten,language,252.511,5,1,impression,sense,1,1.795,1,5
semwritten,language,255.01,5,0,firewood,ashamed,0,0,1,6
semwritten,language,257.51,6,1,character,demeanor,0,0,0,4
semwritten,perceptual,260.009,6,1,ŒΞΨƟʖƟ,ŒΞΨƟʖƟ,0,0,0,4
semwritten,perceptual,262.508,4,0,δƟΨΓϞƩ,ЖƟΨΓΞƩ,0,0,1,4
semwritten,perceptual,265.007,4,1,ϞʖƩΞΨŒ,ϞʖƩΞΨŒ,1,1.491,1,5
semwritten,perceptual,267.506,5,0,ΞϞʖΞƩΞ,ƟϞʖΞƩΞ,0,0,1,5
semwritten,perceptual,270.005,5,1,δΦƧΦΞΓ,δΦƧΦΞΓ,1,1.421,1,6
semwritten,perceptual,272.504,6,0,ϞƟΓƘŒΔ,δƟΓƘδΔ,0,0,1,6
semwritten,perceptual,275.004,6,1,ΓΔʖΔΘƕ,ΓΔʖΔΘƕ,1,1.223,1,7
semwritten,perceptual,277.503,7,0,ΘΘƕƟЖƧ,ΘΘΓƟЖƧ,0,0,1,7
semwritten,language,280.002,4,1,tumble,stair,1,1.569,1,4
semwritten,language,282.518,4,0,rod,flavor,0,0,1,5
semwritten,language,285.017,5,0,gallon,sprint,0,0,1,5
semwritten,language,287.516,5,1,remedy,cure,1,1.447,1,6
semwritten,language,290.015,6,0,beginning,ignition,1,1.291,0,4
semwritten,language,292.514,4,0,burden,engine,0,0,1,4
semwritten,language,295.014,4,1,glutton,eat,1,1.021,1,5
semwritten,language,297.513,5,0,shame,method,0,0,1,5
semwritten,perceptual,300.012,7,0,ŒƏƏƱƋδ,ŒƏƏƱƘδ,0,0,1,7
semwritten,perceptual,302.511,7,1,ΞƏΨƜƕƜ,ΞƏΨƜƕƜ,1,1.467,1,7
semwritten,perceptual,305.01,7,0,ƋƩΓΨЖƕ,ƋƜΓΨЖƕ,0,0,1,7
semwritten,perceptual,307.509,7,1,ŒƩƏƟƕƱ,ŒƩƏƟƕƱ,1,1.509,1,7
semwritten,perceptual,310.008,7,0,ŒδΨƟϞΓ,ŒδΨŒϞΓ,0,0,1,7
semwritten,perceptual,312.508,7,0,ΘʖŒΞδƜ,ΘʖΔΞδƜ,0,0,1,7
semwritten,perceptual,315.007,7,1,δΘΘƜΦƏ,δΘΘƜΦƏ,1,1.371,1,7
semwritten,perceptual,317.506,7,0,ΦδƜϞƧ,ΦƩƜϞƧ,0,0,1,7
semwritten,language,320.005,5,1,mince,slice,1,1.285,1,6
semwritten,language,322.238,6,0,tunic,institute,0,0,1,6
semwritten,language,324.453,6,1,aspirin,morphine,1,1.157,1,7
semwritten,language,326.669,7,0,gist,deity,0,0,1,7
semwritten,language,328.902,7,1,bravery,laud,1,1.796,1,7
semwritten,language,331.118,7,0,quickness,bard,0,0,1,7
semwritten,language,333.35,7,1,despot,tyrant,1,1.068,1,7
semwritten,language,335.566,7,0,lieutenant,rector,0,0,1,7
semwritten,language,337.782,7,0,magnitude,edict,0,0,1,7
semwritten,perceptual,340.015,7,0,ʖʖƱЖΨΓ,ʖʖƱЖƱΓ,0,0,1,7
semwritten,perceptual,342.231,7,0,ƱƋΔƟƘƕ,ƱƋΦƟƘƕ,0,0,1,7
semwritten,perceptual,344.447,7,1,ƩŒƧƘƜƕΔ,ƩŒƧƘƜƕΔ,1,1.763,1,7
semwritten,perceptual,346.679,7,0,ƜƱƟδƟΦ,ƕƱƟδƟΦ,0,0,1,7
semwritten,perceptual,348.895,7,1,ΨΨΘƋƟΓ,ΨΨΘƋƟΓ,1,1.371,1,7
semwritten,perceptual,351.128,7,1,ƏϞŒƟƧƟƧ,ƏϞŒƟƧƟƧ,1,1.667,1,7
semwritten,perceptual,353.343,7,0,ŒƜƏЖΦŒ,ŒƜƏЖΦƱ,0,0,1,7
semwritten,perceptual,355.559,7,0,ΔΨΘΦƱΘ,ΔΨƜΦƱΘ,0,0,1,7
semwritten,perceptual,357.792,7,1,ƘƋŒƩʖδ,ƘƋŒƩʖδ,1,1.714,1,7
semwritten,language,360.008,7,1,invader,fortification,1,1.666,1,7
semwritten,language,362.007,7,1,havoc,discord,1,1.162,1,7
semwritten,language,364.006,7,0,severance,mohair,0,0,1,7
semwritten,language,366.006,7,1,enigma,paradox,1,1.164,1,7
semwritten,language,368.005,7,0,animosity,recollection,0,0,1,7
semwritten,language,370.004,7,1,vertical,oblique,0,0,0,5
semwritten,language,372.004,5,0,vow,mystery,0,0,1,5
semwritten,language,374.003,5,1,foal,mare,1,0.903,1,6
semwritten,language,376.002,6,0,landscape,tweezers,0,0,1,6
semwritten,language,378.018,6,0,polish,depression,0,0,1,7
semwritten,perceptual,380.017,7,1,ƕЖƧΔΦΞΨ,ƕЖƧΔΦΞΨ,1,1.44,1,7
semwritten,perceptual,382.017,7,0,ƏΓŒΨƏŒΦ,ƏΓŒΨƏƱΦ,0,0,1,7
semwritten,perceptual,384.016,7,1,ΓƟʖΔƜƟŒ,ΓƟʖΔƜƟŒ,1,1.594,1,7
semwritten,perceptual,386.015,7,0,ƜϞΨŒƋƏΓ,ƜϞΨΘƋƏΓ,0,0,1,7
semwritten,perceptual,388.015,7,1,ƕƧΞΔƟЖƏ,ƕƧΞΔƟЖƏ,1,1.499,1,7
semwritten,perceptual,390.014,7,0,ΔΦƩЖƱƩƱ,ΔΦƩЖƱƩΓ,0,0,1,7
semwritten,perceptual,392.013,7,1,ϞΓΘƏŒΨƱδ,ϞΓΘƏŒΨƱδ,0,0,0,5
semwritten,perceptual,394.013,5,0,ΨƩŒƱϞƕЖ,ΨƩŒƱϞƕƟ,0,0,1,5
semwritten,perceptual,396.012,5,0,ϞʖΘƧŒƩЖЖ,ϞʖΘƧŒƩЖƜ,0,0,1,6
semwritten,perceptual,398.011,6,1,ΔŒƕΨƕδƕ,ΔŒƕΨƕδƕ,1,1.134,1,6
rhymewritten,language,0.048,6,1,pedanafisk,romanatisk,1,1.056,1,6
rhymewritten,language,2.514,6,0,tinsavory,donsippery,0,0,1,7
rhymewritten,language,5.013,7,0,nasibactory,sictory,1,1.258,0,5
rhymewritten,language,7.512,5,1,riposal,mosle,1,2.311,1,5
rhymewritten,language,10.012,5,0,topucko,lodacco,0,0,1,6
rhymewritten,language,12.511,6,0,limpuvity,oncavity,1,2.033,0,4
rhymewritten,language,15.01,4,1,truny,froony,1,1.222,1,4
rhymewritten,language,17.509,4,1,mirute,voot,1,1.467,1,5
rhymewritten,perceptual,20.008,4,1,ƱΘЖδƟΨЖƟ,ƱΘЖδƟΨЖƟ,1,1.744,1,4
rhymewritten,perceptual,22.507,4,1,ƋƘŒЖƧƟƕ,ƋƘŒЖƧƟƕ,1,1.508,1,5
rhymewritten,perceptual,25.006,5,0,ƕƋƟƕƏΞΔʖ,ΔƋƟƕƏΞΔʖ,0,0,1,5
rhymewritten,perceptual,27.505,5,1,ƏΦΦΞδƩƘƩ,ƏΦΦΞδƩƘƩ,1,1.502,1,6
rhymewritten,perceptual,30.005,6,0,ЖΓƏϞΔƘʖ,ЖΓƏϞƜƘϞ,0,0,1,6
rhymewritten,perceptual,32.504,6,0,ΓƧΞƏʖϞЖƩ,ΓƧƩƏʖϞЖΘ,0,0,1,7
rhymewritten,perceptual,35.003,7,1,ƋΓƘƕƟƧƏΞ,ƋΓƘƕƟƧƏΞ,1,1.532,1,7
rhymewritten,perceptual,37.502,7,0,ΦƱΨƏŒƘƟ,ΦƱΨƏŒƘƏ,1,2.257,0,5
rhymewritten,language,40.018,5,0,gobotic,gobaric,0,0,1,5
rhymewritten,language,42.517,5,1,aborphous,corfus,1,1.826,1,6
rhymewritten,language,45.016,6,0,garooty,macuity,1,2.311,0,4
rhymewritten,language,47.515,4,1,bope,egope,1,1.108,1,4
rhymewritten,language,50.014,4,1,remoak,eboke,1,1.105,1,5
rhymewritten,language,52.513,5,0,caboral,cameeral,1,2.045,0,3
rhymewritten,language,55.012,3,1,pandy,tandee,1,1.515,1,3
rhymewritten,language,57.511,3,0,gava,tarva,0,0,1,4
rhymewritten,perceptual,60.011,5,0,ΦƟƜƜƱƜŒ,ΓƟƜƜƱƜŒ,0,0,1,5
rhymewritten,perceptual,62.51,5,1,ϞƟΞƕΦЖƋ,ϞƟΞƕΦЖƋ,1,1.545,1,6
rhymewritten,perceptual,65.009,6,0,ЖΘΔƜΨƜ,ƋΘƕƜΨƜ,0,0,1,6
rhymewritten,perceptual,67.508,6,1,ΔΓʖŒΨƋ,ΔΓʖŒΨƋ,1,1.283,1,7
rhymewritten,perceptual,70.007,7,1,ƟŒƜƩƘ,ƟŒƜƩƘ,1,1.088,1,7
rhymewritten,perceptual,72.506,7,0,ƜƩƏʖʖ,ΞƩƏʖʖ,0,0,1,7
rhymewritten,perceptual,75.005,7,0,ƟƕΔƟƜƜƋ,ƟƕΔƟƜƜЖ,0,0,1,7
rhymewritten,perceptual,77.504,7,1,ƟΦƩŒδ,ƟΦƩŒδ,1,1.31,1,7
rhymewritten,language,80.004,4,1,pachine,washeen,1,1.179,1,4
rhymewritten,language,82.503,4,0,vellang,velong,0,0,1,5
rhymewritten,language,85.018,5,1,fuspeeto,loschito,0,0,0,3
rhymewritten,language,87.518,3,0,meachen,reeshan,1,1.801,0,1
rhymewritten,language,90.017,1,1,lom,gom,1,1.75,1,1
rhymewritten,language,92.516,1,1,tish,pish,1,0.843,1,2
rhymewritten,language,95.015,2,0,pape,pake,0,0,1,2
rhymewritten,language,97.514,2,0,wom,pum,0,0,1,3
rhymewritten,perceptual,100.013,7,0,ΔƜŒΦƱ,ΦƜŒΦƱ,0,0,1,7
rhymewritten,perceptual,102.512,7,1,ƋΨƜΓΓΨ,ƋΨƜΓΓΨ,1,1.022,1,7
rhymewritten,perceptual,105.011,7,1,ƕδƱŒƘ,ƕδƱŒƘ,1,1.171,1,7
rhymewritten,perceptual,107.511,7,0,ƕЖϞƟδ,ΦЖϞƟδ,0,0,1,7
rhymewritten,perceptual,110.01,7,0,ƏƕΘƧƕ,ƏƕΘƧΓ,0,0,1,7
rhymewritten,perceptual,112.509,7,1,ƜΓƘƋΞ,ƜΓƘƋΞ,1,1.465,1,7
rhymewritten,perceptual,115.008,7,1,ƘƩΞΘƏƧ,ƘƩΞΘƏƧ,1,1.374,1,7
rhymewritten,perceptual,117.507,7,0,ΓΘΓƱƜ,ΓΘΓƱƋ,0,0,1,7
rhymewritten,language,120.006,3,0,minner,tiner,0,0,1,3
rhymewritten,language,122.505,3,0,goro,guro,0,0,1,4
rhymewritten,language,125.004,4,1,gand,lemand,1,1.146,1,4
rhymewritten,language,127.503,4,0,dreacher,dacher,0,0,1,5
rhymewritten,language,130.003,5,1,featona,beedona,1,1.611,1,5
rhymewritten,language,132.518,5,0,dermetic,wermutic,0,0,1,6
rhymewritten,language,135.018,6,1,beritional,caddishinal,1,1.724,1,6
rhymewritten,language,137.517,6,1,capponica,dawnica,1,2.218,1,7
rhymewritten,perceptual,140.016,7,1,ƕδƧƏΓƟ,ƕδƧƏΓƟ,1,2.246,1,7
rhymewritten,perceptual,142.515,7,0,ƱƘƕƱƋƩƩ,ƱƘƏƱƋƩƩ,0,0,1,7
rhymewritten,perceptual,145.014,7,0,ƱƧƕΦΨƩΞ,ƧƧƕΦΨƩΞ,0,0,1,7
rhymewritten,perceptual,147.513,7,1,ƩƕδƘΞƟƕ,ƩƕδƘΞƟƕ,1,1.997,1,7
rhymewritten,perceptual,150.012,7,1,ΘŒΞΓΞΨΓ,ΘŒΞΓΞΨΓ,1,1.577,1,7
rhymewritten,perceptual,152.511,7,0,ƏΦƋδΔƕ,ƏΦƋδΔΦ,0,0,1,7
rhymewritten,perceptual,155.01,7,0,ΔƜƕΞΘƟƘ,ΔƜƕϞΘƟƘ,0,0,1,7
rhymewritten,perceptual,157.51,7,1,ΦδŒΞϞδƧ,ΦδŒΞϞδƧ,1,1.928,1,7
rhymewritten,language,160.009,7,1,ackydermia,dochythermia,1,1.509,1,7
rhymewritten,language,162.008,7,0,becadanogrim,sallananogram,1,1.645,0,5
rhymewritten,language,164.007,5,0,godonna,gorona,0,0,1,5
rhymewritten,language,166.007,5,1,rokipment,quipment,1,1.631,1,6
rhymewritten,language,168.006,6,0,pactangular,dectongular,1,1.223,0,4
rhymewritten,language,170.005,4,0,baffe,bophit,0,0,1,4
rhymewritten,language,172.005,4,1,lameed,abede,0,0,0,2
rhymewritten,language,174.004,2,0,zale,zall,0,0,1,2
rhymewritten,language,176.003,2,1,zoal,wole,1,1.162,1,3
rhymewritten,language,178.002,3,1,rannon,gannin,1,1.555,1,3
rhymewritten,perceptual,180.018,7,0,ƧΓƋƩЖΔƘ,ƧΓʖƩЖΔƘ,0,0,1,7
rhymewritten,perceptual,182.018,7,1,ΦŒδƏƋϞΦΔ,ΦŒδƏƋϞΦΔ,1,1.491,1,7
rhymewritten,perceptual,184.017,7,0,ƱΘƟʖƟδδ,ƱƱƟʖƟδδ,0,0,1,7
rhymewritten,perceptual,186.016,7,1,ŒΨƧƟЖƩƘ,ŒΨƧƟЖƩƘ,1,1.861,1,7
rhymewritten,perceptual,188.016,7,1,ƏΦЖƩϞƟδΘ,ƏΦЖƩϞƟδΘ,1,1.718,1,7
rhymewritten,perceptual,190.015,7,0,ΘƋϞΔЖŒΓ,ΘƋΓΔЖŒΓ,0,0,1,7
rhymewritten,perceptual,192.014,7,0,ƕΨƧŒЖΓЖƘ,ƕΨƧϞЖΓЖƘ,1,1.447,0,5
rhymewritten,perceptual,194.013,5,1,ƋƱϞƕƏƟΞƜ,ƋƱϞƕƏƟΞƜ,0,0,0,3
rhymewritten,perceptual,196.013,3,0,ЖƘΦƜƕΓΓ,ʖƘΦƜƕƕΞ,0,0,1,3
rhymewritten,perceptual,198.012,3,1,ΞΞʖƏϞΓϞ,ΞΞʖƏϞΓϞ,1,0.865,1,4
rhymewritten,language,200.011,3,1,dippik,sipick,1,1.042,1,4
rhymewritten,language,203.344,4,1,mips,aglipse,1,1.309,1,4
rhymewritten,language,206.676,4,0,tompo,tompe,0,0,1,5
rhymewritten,language,210.008,5,1,samella,dackella,1,1.157,1,5
rhymewritten,language,213.34,5,0,lacuno,labuna,0,0,1,6
rhymewritten,language,216.672,6,0,scenuriel,zenariol,1,1.684,0,4
rhymewritten,perceptual,220.004,4,1,ΓƧƧΞƏΔƋ,ΓƧƧΞƏΔƋ,1,1.376,1,4
rhymewritten,perceptual,223.337,4,0,ΘʖƕΦƏƏƏ,δΞƕΦƏƏƏ,0,0,1,5
rhymewritten,perceptual,226.669,5,0,ŒΞΔƋƜƏ,ŒΞΔƋƜϞ,0,0,1,5
rhymewritten,perceptual,230.018,5,1,ŒƘΞƟΞϞƜ,ŒƘΞƟΞϞƜ,1,1.603,1,6
rhymewritten,perceptual,233.35,6,0,ƧΔƟƟƕƧ,ƧΔƟƟƟʖ,0,0,1,6
rhymewritten,perceptual,236.682,6,1,ЖʖƩŒδƕϞ,ЖʖƩŒδƕϞ,1,1.866,1,7
rhymewritten,language,240.014,4,1,omeek,afeek,1,1.182,1,4
rhymewritten,language,242.513,4,0,cageen,hagoon,0,0,1,5
rhymewritten,language,245.012,5,0,tomestic,omastic,1,1.024,0,3
rhymewritten,language,247.511,3,1,wickie,ficky,1,1.117,1,3
rhymewritten,language,250.011,3,0,lashet,lashen,0,0,1,4
rhymewritten,language,252.51,4,1,kemote,lemoat,1,1.151,1,4
rhymewritten,language,255.009,4,0,dranounce,ronance,1,1.499,0,2
rhymewritten,language,257.508,2,1,veke,heek,1,1.177,1,2
rhymewritten,perceptual,260.007,7,0,ΓƕŒʖŒƜ,ƟƕŒʖŒƜ,0,0,1,7
rhymewritten,perceptual,262.506,7,0,ʖδƘŒƜƱ,δδƘŒƜƱ,0,0,1,7
rhymewritten,perceptual,265.005,7,1,ƱƟƋƜЖЖ,ƱƟƋƜЖЖ,1,0.871,1,7
rhymewritten,perceptual,267.504,7,1,ΞʖΓΓƘ,ΞʖΓΓƘ,1,0.788,1,7
rhymewritten,perceptual,270.004,7,1,ΨƟΘƘʖ,ΨƟΘƘʖ,1,0.825,1,7
rhymewritten,perceptual,272.503,7,0,ЖΓΦƟΘЖ,ΦΓΦƟΘЖ,0,0,1,7
rhymewritten,perceptual,275.002,7,1,ƕΓƧƜδΘ,ƕΓƧƜδΘ,1,1.499,1,7
rhymewritten,perceptual,277.518,7,0,ŒƜΨƘƱŒ,ŒƜΨƘƱƩ,0,0,1,7
rhymewritten,language,280.017,2,1,grod,crod,1,0.995,1,3
rhymewritten,language,282.866,3,1,forrie,boary,1,1.235,1,3
rhymewritten,language,285.731,3,0,guller,culer,0,0,1,4
rhymewritten,language,288.58,4,1,rompo,gompo,1,1.84,1,4
rhymewritten,language,291.446,4,1,pabel,nable,1,1.118,1,5
rhymewritten,language,294.295,5,0,tegato,legoda,0,0,1,5
rhymewritten,language,297.161,5,0,obesum,ebossum,1,1.835,0,3
rhymewritten,perceptual,300.01,7,1,ʖΦƩƋƟ,ʖΦƩƋƟ,1,1.242,1,7
